Id;Name;Level
1;Betonboorder;3
2;Allround betonreparateur;3
3;Betonreparateur;2
4;Allround betonstaalverwerker bouwplaats;3
5;Allround betonstaalverwerker prefabricage;3
6;Betonstaallasser;2
7;Betonstaalvlechter;2
8;Allround betontimmerman;3
9;Betontimmerman;2
10;Allround dakdekker bitumen en kunststof;3
11;Allround dakdekker pannen/leien;3
12;Allround dakdekker metaal;3
13;Dakdekker bitumen en kunststof;2
14;Monteur metalen daken en gevels;2
15;Dakdekker pannen/leien;2
16;Dakdekker riet;2
17;Allround vakman gww;3
18;Allround waterbouwer;3
19;Balkman;3
20;Straatmaker;3
21;Asfaltafwerker;2
22;Opperman bestratingen;2
23;Vakman gww;2
24;Waterbouwer;2
25;Machinist grondverzet;3
26;Machinist hijswerk;3
27;Machinist wegenbouw;3
28;Allround Metselaar;3
29;Metselaar;2
30;Middenkaderfunctionaris Bouw;4
31;Middenkaderfunctionaris Infra;4
32;Middenkaderfunctionaris Landmeetkunde;4
33;Middenkaderfunctionaris Restauratie;4
34;Middenkaderfunctionaris Verkeer en Stedenbouw;4
35;Allround natuursteenbewerker;3
36;Natuursteenbewerker machinaal;2
37;Natuursteenbewerker ambachtelijk;2
38;Allround sloper;3
39;Sloper;2
40;Eerste monteur steigerbouw;3
41;Monteur steigerbouw;2
42;Allround tegelzetter;3
43;Tegelzetter;2
44;Allround timmerman;3
45;Timmerman;2
46;Gevelbehandelaar voegbedrijf;2
47;Voeger;2
48;Vakman restauratie voegwerk;3
49;Uitvoerder bouw/infra;4
50;Uitvoerder gespecialiseerde aannemerij;4
51;Uitvoerder hijswerk;4
52;Werkvoorbereider fabricage;4
53;Werkvoorbereider gespecialiseerde aannemerij;4
54;Werkvoorbereider installaties;4
55;Specialist Restauratie Timmerwerk;4
56;Specialist Restauratie Metselwerk;4
57;Middenkaderfunctionaris smart building;4
58;Allround medewerker afvalbeheer;2
59;Teamleider AMBOR;4
60;Beheerder milieustraat;3
61;Voorman BOR;3
62;Allround medewerker beheer openbare ruimte;2
63;Decoratiestukadoor;4
64;Dekvloerenlegger;2
65;Gezel dekvloerenlegger;3
66;Gezel glaszetter;3
67;Glaszetter;2
68;Montagemedewerker houttechniek;2
69;Machineoperator houttechniek;2
70;Allround montagemedewerker houttechniek;3
71;Allround machineoperator houttechniek;3
72;Werkvoorbereider houttechniek;4
73;Industrieel lakverwerker;2
74;Vakkracht industrieel lakverwerker;3
75;Interieurvakman woningstofferen ;2
76;Interieurvakman parketvloeren ;2
