Crebonummer;Kwalificatie;Niveau;Soort
25078;Betonboorder;3;vakopleiding
25079;Allround betonreparateur;3;vakopleiding
25080;Betonreparateur;2;basisberoepsopleiding
25081;Allround betonstaalverwerker bouwplaats;3;vakopleiding
25082;Allround betonstaalverwerker prefabricage;3;vakopleiding
25083;Betonstaallasser;2;basisberoepsopleiding
25084;Betonstaalvlechter;2;basisberoepsopleiding
25085;Allround betontimmerman;3;vakopleiding
25125;Betontimmerman;2;basisberoepsopleiding
25086;Allround dakdekker bitumen en kunststof;3;vakopleiding
25087;Allround dakdekker pannen/leien;3;vakopleiding
25542;Allround dakdekker metaal;3;vakopleiding
25088;Dakdekker bitumen en kunststof;2;basisberoepsopleiding
25543;Monteur metalen daken en gevels;2;basisberoepsopleiding
25089;Dakdekker pannen/leien;2;basisberoepsopleiding
25090;Dakdekker riet;2;basisberoepsopleiding
25750;Allround vakman gww;3;vakopleiding
25751;Allround waterbouwer;3;vakopleiding
25753;Balkman;3;vakopleiding
25755;Straatmaker;3;vakopleiding
25752;Asfaltafwerker;2;basisberoepsopleiding
25754;Opperman bestratingen;2;basisberoepsopleiding
25756;Vakman gww;2;basisberoepsopleiding
25757;Waterbouwer;2;basisberoepsopleiding
25099;Machinist grondverzet;3;vakopleiding
25558;Machinist hijswerk;3;vakopleiding
25101;Machinist wegenbouw;3;vakopleiding
25785;Allround Metselaar;3;vakopleiding
25786;Metselaar;2;basisberoepsopleiding
25104;Middenkaderfunctionaris Bouw;4;middenkaderopleiding
25105;Middenkaderfunctionaris Infra;4;middenkaderopleiding
25106;Middenkaderfunctionaris Landmeetkunde;4;middenkaderopleiding
25107;Middenkaderfunctionaris Restauratie;4;middenkaderopleiding
25108;Middenkaderfunctionaris Verkeer en Stedenbouw;4;middenkaderopleiding
25109;Allround natuursteenbewerker;3;vakopleiding
25111;Natuursteenbewerker machinaal;2;basisberoepsopleiding
25113;Natuursteenbewerker ambachtelijk;2;basisberoepsopleiding
25114;Allround sloper;3;vakopleiding
25115;Sloper;2;basisberoepsopleiding
25126;Eerste monteur steigerbouw;3;vakopleiding
25127;Monteur steigerbouw;2;basisberoepsopleiding
25826;Allround tegelzetter;3;vakopleiding
25827;Tegelzetter;2;basisberoepsopleiding
25828;Allround timmerman;3;vakopleiding
25829;Timmerman;2;basisberoepsopleiding
25129;Gevelbehandelaar voegbedrijf;2;basisberoepsopleiding
25130;Voeger;2;basisberoepsopleiding
25504;Vakman restauratie voegwerk;3;vakopleiding
25119;Uitvoerder bouw/infra;4;middenkaderopleiding
25120;Uitvoerder gespecialiseerde aannemerij;4;middenkaderopleiding
25121;Uitvoerder hijswerk;4;middenkaderopleiding
25122;Werkvoorbereider fabricage;4;middenkaderopleiding
25123;Werkvoorbereider gespecialiseerde aannemerij;4;middenkaderopleiding
25124;Werkvoorbereider installaties;4;middenkaderopleiding
25505;Specialist Restauratie Timmerwerk;4;specialistenopleiding
25506;Specialist Restauratie Metselwerk;4;specialistenopleiding
25836;Middenkaderfunctionaris smart building;4;middenkaderopleiding
25001;Allround medewerker afvalbeheer;2;basisberoepsopleiding
25042;Teamleider AMBOR;4;middenkaderopleiding
25041;Beheerder milieustraat;3;vakopleiding
25043;Voorman BOR;3;vakopleiding
25002;Allround medewerker beheer openbare ruimte;2;basisberoepsopleiding
25570;Decoratiestukadoor;4;specialistenopleiding
25003;Dekvloerenlegger;2;basisberoepsopleiding
25004;Gezel dekvloerenlegger;3;vakopleiding
25005;Gezel glaszetter;3;vakopleiding
25006;Glaszetter;2;basisberoepsopleiding
25583;Montagemedewerker houttechniek;2;basisberoepsopleiding
25584;Machineoperator houttechniek;2;basisberoepsopleiding
25585;Allround montagemedewerker houttechniek;3;vakopleiding
25586;Allround machineoperator houttechniek;3;vakopleiding
25587;Werkvoorbereider houttechniek;4;middenkaderopleiding
25010;Industrieel lakverwerker;2;basisberoepsopleiding
25011;Vakkracht industrieel lakverwerker;3;vakopleiding
25659;Interieurvakman woningstofferen ;2;basisberoepsopleiding
25660;Interieurvakman parketvloeren ;2;basisberoepsopleiding
25661;Allround interieurvakman woningstofferen;3;vakopleiding
25662;Allround interieurvakman parketvloeren;3;vakopleiding
25772;Vastgoedadviseur;4;middenkaderopleiding
25773;Uitvoerder;4;middenkaderopleiding
25015;Allround machinaal houtbewerker;3;vakopleiding
25016;Machinaal houtbewerker;2;basisberoepsopleiding
25017;Allround meubelmaker/(scheeps)interieurbouwer;3;vakopleiding
25019;Ondernemend meubelmaker/(scheeps)interieurbouwer;4;middenkaderopleiding
25020;Werkvoorbereider meubelindustrie/(scheeps)interieurbouw;4;middenkaderopleiding
25018;Meubelmaker/(scheeps)interieurbouwer;2;basisberoepsopleiding
25021;Allround meubelstoffeerder;3;vakopleiding
25022;Meubelstoffeerder;2;basisberoepsopleiding
25791;Allround vakkracht onderhoud- en klussenbedrijf;3;vakopleiding
